wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
monolithBrick,29,52,107.1,32.1,55.64614,37.64972,40215835
brick,5,18,40.6,10,55.60741781,37.6494778,9200000
monolith,2,19,104.5,26.9,55.57524,37.44965,17334151
monolith,8,18,38.1,10.9,55.57524,37.44965,10896788
monolith,9,18,62.5,12.6,55.59911,37.35495,15022375
monolith,10,21,64.2,5,55.8013056,37.56393161,26161500
brick,4,9,29.4,6,55.81580417,37.69776964,9299000
panel,4,14,58,12.2,55.93694541,37.36975052,14948282
monolithBrick,8,45,43.5,17.3,55.74013683,37.52180662,27900000
panel,1,12,65.3,10.6,55.61161088,37.60069378,2700000
monolith,17,23,47.9,3.6,55.85305375,37.60621196,12562033
monolith,12,26,41.3,10.3,55.7050766,37.93935041,10478030
monolith,2,14,43.5,17.6,55.57524,37.44965,11725306
monolith,7,22,81,13.8,55.57524,37.44965,18468000
block,7,12,46.3,6,55.62710949,37.6798882,12250000
panel,2,12,38.8,9,55.79992,37.40748,10750000
monolith,7,10,56.1,12.1,55.57524,37.44965,16100000
monolithBrick,13,17,41.71,5.4,55.87105,37.51282,9000000
brick,14,17,46,11.6,55.5759117,37.48109115,11300000
panel,4,14,49.54,4.7,55.57524,37.44965,10023367
monolith,26,29,80,21,55.72663024,37.68380133,31500000
monolith,2,5,150,50,55.74583999,37.60765998,400000000
monolith,6,21,33.6,12.2,55.57524,37.44965,10105372
monolith,9,9,69.3,27.3,55.69489096,37.45746756,27835315
monolith,1,12,31,13,55.59911,37.35495,8000000
panel,12,16,40,8.4,55.61909,37.50052,11600000
panel,4,14,38.9,8.6,55.65417998,37.75838001,10100000
monolith,5,28,100.7,16.5,55.85757499,37.50896499,28990000
monolith,16,16,128,43.2,55.83333,37.41667,82611200
panel,6,9,60.8,5.8,55.59450978,37.60921855,13900000
monolith,2,5,32,7,55.50918999,37.58539001,6500000
block,4,12,135,25,55.74122001,37.63161998,135000000
monolith,11,20,75.6,8.5,55.67273001,37.49411997,25490000
monolith,7,28,76,15.7,55.83785681,37.51318665,29412000
monolithBrick,9,13,42.4,9.8,55.57524,37.44965,13016800
brick,2,13,114,16,55.85747001,37.568,28000000
monolith,6,7,34.63,6.6,55.60171,37.16399,8593018
monolith,3,5,79.3,18.6,55.75446849,37.62440569,216850000
panel,2,17,40.5,8,55.80522953,37.63690135,14300000
panel,16,16,49.9,12,55.59023,37.67277999,14500000
panel,2,12,31.8,7.8,55.79097,37.67564,13000000
brick,1,17,43,10,55.56975,37.49129001,10750000
panel,2,17,72.4,10,55.87376324,37.54664,21500000
panel,2,18,76.7,10,55.87486676,37.52636921,18000000
monolithBrick,24,43,64.7,6.9,55.75679512,37.51790864,39340835
monolith,2,19,33,9,55.85050663,37.58115376,13200000
monolith,2,3,62.2,12,55.59911,37.35495,11700000
panel,13,16,34.5,9.6,55.68852999,37.46833003,12300000
panel,11,24,86,18.6,55.87275408,37.59988761,38000000
monolith,14,26,41.1,4.9,55.7277146,37.73633053,15000000
monolithBrick,7,16,82.9,24.9,55.69694738,37.63378209,40195474
monolith,10,36,37.8,13.3,55.85937,37.69444,10962000
monolith,12,27,65.5,10.5,55.67355024,37.61179768,29000000
panel,14,17,42.2,10,55.71887138,37.90039179,9500000
panel,16,17,38.1,8.4,55.97439002,37.15067164,8500000
brick,3,8,43,6,55.69295999,37.56293003,18200000
monolith,5,9,36.8,15.1,55.57524,37.44965,8934046
panel,9,17,39,8,55.85937,37.69444,10700000
monolith,3,7,45.6,19,55.74834761,37.62181657,104880000
panel,2,12,35.1,9,55.86281483,37.46830988,10600000
brick,6,14,53,8.8,55.73439999,37.40406003,15950000
monolithBrick,25,43,66.3,7.9,55.76429393,37.5093029,37406460
brick,8,18,38.3,8,55.56759002,37.47565003,11700000
panel,2,9,44.6,6.1,55.71430642,37.40868318,11750000
panel,10,16,53,15,55.69694738,37.63378209,24000000
panel,10,17,38,8.5,55.86746147,37.69842153,9000000
panel,9,9,58.3,6,55.67425,37.71965,13000000
panel,7,22,105,12,55.65045935,37.556977,32500000
brick,5,5,31,6.5,55.80293001,37.54742997,12300000
block,6,12,35.9,10,55.7807455,37.52573248,12000000
panel,6,14,47.2,9,55.73169832,37.5763034,26000000
monolith,14,44,59.4,10.1,55.76517,37.50993998,31000000
monolith,10,29,60.1,22,55.80993219,37.52470904,26918790
brick,6,6,100,24,55.76776998,37.62623,65000000
monolith,8,18,115.8,18,55.77252441,37.42756414,43000000
monolith,5,23,96,15,55.64508,37.48794,35700000
panel,16,16,78,8,55.71130001,37.89017001,16500000
monolith,6,17,40,7.7,55.57524,37.44965,12500000
monolith,16,23,41,4,55.72663024,37.68380133,11400000
panel,8,17,64,7,55.70462001,37.77863999,15800000
panel,10,12,40,9,55.77274678,37.49147332,15000000
brick,2,5,57,9,55.73154,37.71111001,13700000
monolith,25,35,94.7,8.4,55.85407353,37.47212361,33555982
monolith,10,18,53,9.2,55.57524,37.44965,12419838
monolith,9,29,49.8,10,55.75679512,37.51790864,27000000
monolith,33,34,130.1,31.4,55.80729949,37.5437729,45500000
panel,7,9,32.7,6.7,55.61617248,37.5398477,10050000
monolith,7,13,48.4,8.7,55.57524,37.44965,13400000
monolith,24,49,68.3,19.8,55.7503,37.46887,35509170
panel,1,9,48.2,7.1,55.82822999,37.82382004,9700000
block,5,9,32,6,55.83702999,37.65963004,9850000
monolith,3,11,39.2,15,55.70857178,37.5029491,20000000
monolith,2,23,41.33,13.4,55.57524,37.44965,9601075
panel,14,18,96.5,13,55.70636264,37.76077019,25990000
panel,12,25,56,11,55.71904397,37.82148234,16100000
monolith,31,31,37.4,18.2,55.86678322,37.48073874,21000000
monolith,23,23,39.69,13.4,55.57524,37.44965,10725516
panel,10,12,47,7,55.82786999,37.58246004,14900000
monolith,6,24,36.1,17.6,55.69733999,37.62551997,14750000
panel,6,12,62.6,7,55.61506662,37.71487031,15600000
brick,1,9,31,6,55.76641999,37.83567004,8500000
panel,7,16,37.6,9,55.89211952,37.51353696,10800000
brick,7,19,39.6,7.9,55.63672002,37.31044004,11200000
panel,5,9,59,6,55.85171001,37.42570998,15700000
monolith,2,14,37.7,12.4,55.7519914,37.6871014,19000000
monolith,28,28,64.3,23.2,55.69967978,37.49347854,41275862
panel,1,9,23,5,55.6567,37.52427001,6800000
panel,3,9,45.8,6,55.64659,37.53286004,14100000
block,8,12,39,6.2,55.86881001,37.67999999,13300000
monolith,9,20,51.9,21.1,55.79023001,37.45695998,22000000
monolith,4,15,72,16.3,55.6718,37.73775,17550000
monolith,4,30,47.4,10,55.72321554,37.69251967,21130000
monolith,2,12,39,17.3,55.57524,37.44965,13072178
brick,7,14,70,10,55.73306002,37.66017,48650000
panel,6,16,36.71,9,55.87782999,37.52259003,9400000
monolith,4,15,79,16.6,55.77322,37.72591,25600000
monolithBrick,9,33,20,3,55.88924153,37.53999988,8900000
block,5,5,45.2,6,55.80585411,37.77883248,12100000
block,4,9,40,7,55.85466002,37.51406999,12990000
brick,3,10,68,11,55.70748,37.58283999,28700000
monolithBrick,12,14,34.03,10.4,55.57524,37.44965,8800000
panel,12,12,52,10,55.71976275,37.51152897,1600000
brick,5,21,39,9,55.49234002,37.31514002,8300000
monolith,10,16,56.7,11.8,55.80317,37.50458,28299911
brick,2,7,79.4,9.2,55.80165138,37.51707568,24500000
monolith,8,8,48.79,18.4,55.66667,37.75,28466000
block,3,14,34.8,9.5,55.81367999,37.63857499,14500000
monolith,9,9,42,12.4,55.67034127,37.77168633,13900000
panel,12,19,56,8,55.63903,37.51954,19950000
panel,2,5,31.8,5.5,55.86108999,37.50898,9350000
