wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
1,8,16,43.5,11.7,55.54784034,37.49439915,11000000
3,15,17,60,10.1,55.50652999,37.57216002,12000000
1,6,18,37.1,10.8,55.57524,37.44965,9502319
1,2,3,43.9,14,55.87075,37.68869001,10750000
,9,14,43.4,17.2,54.06592001,38.21441002,10429020
2,13,22,19.8,4,55.65125998,37.48284003,8010000
1,4,18,38.3,15.1,55.57524,37.44965,9153815
2,2,5,32,6,55.66042999,37.57644996,11500000
2,1,9,44.4,6,55.6328359,37.59497382,11400000
1,7,22,75,,55.719575,37.50100998,40000000
2,3,9,68.3,6,55.61234,37.53002,17500000
,5,7,142,21,55.75560998,37.60052002,130000000
3,4,6,92,7,55.77213069,37.66010164,29900000
3,7,16,67,,55.70857178,37.5029491,25000000
2,10,25,74.9,13,55.65486001,37.40932998,19199000
,6,31,52.5,6,55.87105,37.51282,12650000
3,1,9,83,9,55.80677999,37.63755998,31780000
2,1,14,76.8,8,55.64306001,37.34534002,13900000
5,5,9,40,,55.87376324,37.54664,13500000
1,29,31,46.36,13.7,55.88706,37.57908,24709880
3,4,5,32,6,55.81083,37.79012998,14500000
,5,9,29.5,7,55.66580409,37.74975985,6688500
1,23,28,44,,55.75696,37.61502,17094880
3,1,5,43.2,5,55.85946705,37.51812121,10996000
1,57,69,33.7,10.6,55.68975112,37.7171476,13200000
2,9,16,36,8,55.89604001,37.61277998,9700000
,4,17,63.5,10,55.69885022,37.51371006,30000000
,,,,,55.61506662,37.71487031,
2,6,16,72,8,55.87016642,37.67579975,17000000
1,8,9,49,12,55.76037931,37.51910461,23000000
3,8,15,150,16,55.67538,37.54130003,52000000
4,4,18,73.6,,55.73342,37.62903,46231158
,2,5,41.3,5.4,55.77114999,37.55641,14350000
4,29,52,107.1,32.1,55.64614,37.64972,40215835
,9,9,34,7,55.64424259,37.5081159,10500000
3,5,18,40.6,10,55.60741781,37.6494778,9200000
1,2,19,104.5,26.9,55.57524,37.44965,17334151
,16,25,62,13.5,55.77560551,37.53916879,27500000
1,8,18,38.1,10.9,55.57524,37.44965,10896788
1,9,18,62.5,12.6,55.59911,37.35495,15022375
1,10,21,64.2,5,55.8013056,37.56393161,26161500
3,4,9,29.4,6,55.81580417,37.69776964,9299000
2,4,14,58,12.2,55.93694541,37.36975052,14948282
4,8,45,43.5,17.3,55.74013683,37.52180662,27900000
4,4,15,56,,55.50050998,37.54184997,9950000
2,1,12,65.3,10.6,55.61161088,37.60069378,2700000
1,17,23,47.9,3.6,55.85305375,37.60621196,12562033
1,12,26,41.3,10.3,55.7050766,37.93935041,10478030
1,2,14,43.5,17.6,55.57524,37.44965,11725306
,,,,,55.75472,37.49197,
,4,12,34.4,9.8,55.77273002,37.68409002,14600000
1,7,22,81,13.8,55.57524,37.44965,18468000
5,7,12,46.3,6,55.62710949,37.6798882,12250000
2,2,12,38.8,9,55.79992,37.40748,10750000
1,7,10,56.1,12.1,55.57524,37.44965,16100000
4,13,17,41.71,5.4,55.87105,37.51282,9000000
3,14,17,46,11.6,55.5759117,37.48109115,11300000
2,4,14,49.54,4.7,55.57524,37.44965,10023367
1,26,29,80,21,55.72663024,37.68380133,31500000
1,8,14,51.38,,55.74389458,37.55860614,48811000
1,10,24,49.9,,55.71592,37.73211,14342956
1,2,5,150,50,55.74583999,37.60765998,400000000
2,6,14,38,,55.66408006,37.77554249,10250000
1,6,21,33.6,12.2,55.57524,37.44965,10105372
,,,,,55.71606213,37.40364803,
1,9,9,69.3,27.3,55.69489096,37.45746756,27835315
1,1,12,31,13,55.59911,37.35495,8000000
2,12,16,40,8.4,55.61909,37.50052,11600000
2,4,14,38.9,8.6,55.65417998,37.75838001,10100000
3,13,17,40,11.4,-1,-1,8850000
1,13,19,,10.7,55.57524,37.44965,
,24,24,80,22,55.75679512,37.51790864,55000000
1,5,28,100.7,16.5,55.85757499,37.50896499,28990000
1,16,16,128,43.2,55.83333,37.41667,82611200
2,6,9,60.8,5.8,55.59450978,37.60921855,13900000
4,2,5,55.1,,55.84559135,37.45784187,23900000
1,2,5,32,7,55.50918999,37.58539001,6500000
5,4,12,135,25,55.74122001,37.63161998,135000000
1,11,20,75.6,8.5,55.67273001,37.49411997,25490000
,2,12,59,14,55.54903001,37.58087996,7500000
1,7,28,76,15.7,55.83785681,37.51318665,29412000
,15,22,39.1,10.1,55.64826001,37.73462997,12300000
4,9,13,42.4,9.8,55.57524,37.44965,13016800
1,4,26,46,,55.71471324,37.47422664,32000000
3,2,13,114,16,55.85747001,37.568,28000000
1,6,7,34.63,6.6,55.60171,37.16399,8593018
1,3,5,79.3,18.6,55.75446849,37.62440569,216850000
2,2,17,40.5,8,55.80522953,37.63690135,14300000
2,16,16,49.9,12,55.59023,37.67277999,14500000
2,2,12,31.8,7.8,55.79097,37.67564,13000000
3,1,17,43,10,55.56975,37.49129001,10750000
,14,14,37.2,11.5,55.57524,37.44965,9893312
,10,17,64,,55.57524,37.44965,15598318
2,2,17,72.4,10,55.87376324,37.54664,21500000
1,7,19,55.4,,55.80955924,37.71190497,23081940
2,2,18,76.7,10,55.87486676,37.52636921,18000000
4,24,43,64.7,6.9,55.75679512,37.51790864,39340835
1,2,19,33,9,55.85050663,37.58115376,13200000
1,2,3,62.2,12,55.59911,37.35495,11700000
2,13,16,34.5,9.6,55.68852999,37.46833003,12300000
2,11,24,86,18.6,55.87275408,37.59988761,38000000
1,14,26,41.1,4.9,55.7277146,37.73633053,15000000
,5,8,103,12,55.75762427,37.63509281,62000000
4,7,16,82.9,24.9,55.69694738,37.63378209,40195474
1,10,36,37.8,13.3,55.85937,37.69444,10962000
1,12,27,65.5,10.5,55.67355024,37.61179768,29000000
2,14,17,42.2,10,55.71887138,37.90039179,9500000
,7,17,37.7,,55.57524,37.44965,9973539
,2,12,51.4,8.5,55.98744,37.16606,10500000
2,16,17,38.1,8.4,55.97439002,37.15067164,8500000
3,2,4,117,,55.73139548,37.59158408,82000000
3,3,8,43,6,55.69295999,37.56293003,18200000
,7,23,57.6,10.2,55.80549999,37.48344,22000000
1,2,24,103.2,,55.83065,37.61976,41589600
1,5,9,36.8,15.1,55.57524,37.44965,8934046
2,9,17,39,8,55.85937,37.69444,10700000
1,3,7,45.6,19,55.74834761,37.62181657,104880000
1,14,21,60,,55.75762,37.56955,64880270
2,2,12,35.1,9,55.86281483,37.46830988,10600000
1,30,40,75,,55.65583103,37.49706869,31000000
,26,31,64,11,55.55744,37.55499002,18000000
3,8,17,45,10,53.99957085,38.2789705,10300000
,14,31,87,29.2,55.68918027,37.47323689,53000000
3,6,14,53,8.8,55.73439999,37.40406003,15950000
4,25,43,66.3,7.9,55.76429393,37.5093029,37406460
3,8,18,38.3,8,55.56759002,37.47565003,11700000
2,2,9,44.6,6.1,55.71430642,37.40868318,11750000
2,10,16,53,15,55.69694738,37.63378209,24000000
2,10,17,38,8.5,55.86746147,37.69842153,9000000
2,9,9,58.3,6,55.67425,37.71965,13000000
2,7,22,105,12,55.65045935,37.556977,32500000
3,5,5,31,6.5,55.80293001,37.54742997,12300000
5,6,12,35.9,10,55.7807455,37.52573248,12000000
2,6,14,47.2,9,55.73169832,37.5763034,26000000
1,14,44,59.4,10.1,55.76517,37.50993998,31000000
,17,17,53,9.1,55.58502035,37.67856962,15500000
,,,,,-1,-1,
1,10,29,60.1,22,55.80993219,37.52470904,26918790
3,6,6,100,24,55.76776998,37.62623,65000000
1,8,18,115.8,18,55.77252441,37.42756414,43000000
,14,14,100,,55.73073002,37.62991996,60000000
1,5,23,96,15,55.64508,37.48794,35700000
2,16,16,78,8,55.71130001,37.89017001,16500000
1,6,17,40,7.7,55.57524,37.44965,12500000
,1,5,56,10,55.48761,37.27764,5900000
1,31,31,45,,55.75599362,37.50587366,26000000
1,16,23,41,4,55.72663024,37.68380133,11400000
2,8,17,64,7,55.70462001,37.77863999,15800000
2,10,12,40,9,55.77274678,37.49147332,15000000
3,2,5,57,9,55.73154,37.71111001,13700000
1,25,35,94.7,8.4,55.85407353,37.47212361,33555982
1,10,18,53,9.2,55.57524,37.44965,12419838
,30,30,42,10,55.61368276,37.7381179,20500000
1,9,29,49.8,10,55.75679512,37.51790864,27000000
1,33,34,130.1,31.4,55.80729949,37.5437729,45500000
,21,33,42.5,21,55.73679502,37.39319503,17500000
1,3,18,161.6,,55.67956001,37.55031996,55000000
2,6,9,64,8.4,44.50386,34.20821,15300000
4,2,18,69.4,,55.73342,37.62903,41722624
1,12,57,40.53,,55.75472,37.49196,26205756
,6,25,43.9,10,55.77560551,37.53916879,20200000
2,7,9,32.7,6.7,55.61617248,37.5398477,10050000
1,7,13,48.4,8.7,55.57524,37.44965,13400000
1,24,49,68.3,19.8,55.7503,37.46887,35509170
2,1,9,48.2,7.1,55.82822999,37.82382004,9700000
1,10,22,36,,55.77523993,37.69109065,17490000
3,2,19,37.8,,55.59911,37.35495,10700000
